word                 start end  
F                    13046 13049
S                    13050 13071
SIL                  13072 13096
S                    13097 13101
+NSN+                13102 13113
V                    13114 13122
SIL                  13123 13128
HH                   13129 13131
AW                   13132 13136
B                    13137 13140
B                    13141 13150
EH                   13151 13156
IY                   13157 13165
T                    13166 13169
EY                   13170 13174
IH                   13175 13177
T                    13178 13181
Z                    13182 13185
HH                   13186 13190
UW                   13191 13193
SIL                  13194 13249
S                    13250 13256
D                    13257 13259
SIL                  13260 13279
N                    13280 13282
K                    13283 13288
OW                   13289 13297
L                    13298 13301
W                    13302 13309
AY                   13310 13324
L                    13325 13330
IH                   13331 13338
G                    13339 13344
+NSN+                13345 13389
T                    13390 13396
DH                   13397 13406
N                    13407 13411
K                    13412 13419
SIL                  13420 13435
D                    13436 13441
R                    13442 13444
IY                   13445 13457
AH                   13458 13462
L                    13463 13468
AH                   13469 13473
K                    13474 13484
P                    13485 13487
SIL                  13488 13532
D                    13533 13536
T                    13537 13543
Y                    13544 13547
EH                   13548 13554
L                    13555 13557
IH                   13558 13560
AH                   13561 13565
N                    13566 13571
M                    13572 13577
DH                   13578 13584
+SPN+                13585 13587
SIL                  13588 13637
DH                   13638 13644
K                    13645 13650
AE                   13651 13658
L                    13659 13661
Y                    13662 13664
L                    13665 13667
IY                   13668 13679
N                    13680 13689
SIL                  13690 13705
G                    13706 13710
SIL                  13711 13769
S                    13770 13779
SIL                  13780 13813
K                    13814 13823
AE                   13824 13830
N                    13831 13834
G                    13835 13838
ZH                   13839 13842
UW                   13843 13847
T                    13848 13850
B                    13851 13857
DH                   13858 13861
IY                   13862 13864
AH                   13865 13867
SIL                  13868 13921
K                    13922 13933
IH                   13934 13937
N                    13938 13941
DH                   13942 13947
IY                   13948 13962
TH                   13963 13966
D                    13967 13970
DH                   13971 13974
Z                    13975 13978
N                    13979 13982
IY                   13983 13999
SIL                  14000 14027
SIL                  14028 14040
AE                   14041 14048
Z                    14049 14051
S                    14052 14058
T                    14059 14063
S                    14064 14068
P                    14069 14072
SIL                  14073 14103
B                    14104 14107
L                    14108 14110
EH                   14111 14116
K                    14117 14128
G                    14129 14133
SIL                  14134 14144
T                    14145 14150
N                    14151 14154
K                    14155 14157
SIL                  14158 14178
B                    14179 14183
Z                    14184 14194
EY                   14195 14198
AH                   14199 14201
N                    14202 14208
HH                   14209 14224
UW                   14225 14227
V                    14228 14236
AH                   14237 14242
S                    14243 14250
IH                   14251 14256
NG                   14257 14266
DH                   14267 14269
IH                   14270 14272
P                    14273 14288
SIL                  14289 14314
V                    14315 14317
+NSN+                14318 14325
SIL                  14326 14333
NG                   14334 14337
K                    14338 14340
K                    14341 14348
IY                   14349 14359
NG                   14360 14363
G                    14364 14367
AH                   14368 14372
HH                   14373 14377
IH                   14378 14380
V                    14381 14385
N                    14386 14391
L                    14392 14394
TH                   14395 14399
B                    14400 14407
IY                   14408 14410
G                    14411 14414
T                    14415 14422
IY                   14423 14435
NG                   14436 14438
DH                   14439 14442
IH                   14443 14445
P                    14446 14456
V                    14457 14460
SIL                  14461 14486
T                    14487 14491
S                    14492 14505
M                    14506 14509
L                    14510 14512
AO                   14513 14518
L                    14519 14530
W                    14531 14537
IH                   14538 14542
T                    14543 14551
S                    14552 14567
D                    14568 14589
Z                    14590 14592
F                    14593 14603
AH                   14604 14607
SIL                  14608 14633
AE                   14634 14640
K                    14641 14644
P                    14645 14651
TH                   14652 14657
AE                   14658 14665
K                    14666 14680
T                    14681 14684
SIL                  14685 14730
P                    14731 14736
S                    14737 14744
M                    14745 14752
AA                   14753 14757
L                    14758 14762
AE                   14763 14775
L                    14776 14778
UH                   14779 14782
V                    14783 14786
AH                   14787 14791
T                    14792 14797
CH                   14798 14813
S                    14814 14819
G                    14820 14824
F                    14825 14829
SIL                  14830 14854
SIL                  14855 14878
D                    14879 14885
S                    14886 14890
S                    14891 14893
P                    14894 14899
OW                   14900 14902
SIL                  14903 14936
K                    14937 14941
CH                   14942 14951
S                    14952 14974
M                    14975 14983
OW                   14984 14995
ER                   14996 14998
OY                   14999 15006
N                    15007 15012
T                    15013 15015
S                    15016 15023
K                    15024 15029
G                    15030 15034
AY                   15035 15061
AY                   15062 15067
HH                   15068 15070
N                    15071 15073
D                    15074 15090
AY                   15091 15098
SIL                  15099 15129
SH                   15130 15145
P                    15146 15148
AH                   15149 15151
M                    15152 15162
UH                   15163 15165
L                    15166 15173
ER                   15174 15176
L                    15177 15182
IY                   15183 15195
EH                   15196 15203
M                    15204 15214
DH                   15215 15218
IH                   15219 15222
N                    15223 15227
OW                   15228 15247
AO                   15248 15250
NG                   15251 15255
Z                    15256 15262
AH                   15263 15266
Z                    15267 15274
L                    15275 15277
V                    15278 15283
Z                    15284 15295
SIL                  15296 15321
P                    15322 15325
TH                   15326 15344
F                    15345 15348
D                    15349 15352
P                    15353 15357
F                    15358 15361
SIL                  15362 15369
R                    15370 15376
EH                   15377 15382
Z                    15383 15387
Z                    15388 15392
UH                   15393 15404
TH                   15405 15410
V                    15411 15415
S                    15416 15420
S                    15421 15427
M                    15428 15437
AO                   15438 15447
R                    15448 15451
Y                    15452 15458
AH                   15459 15464
NG                   15465 15470
AH                   15471 15474
N                    15475 15478
OW                   15479 15493
L                    15494 15497
V                    15498 15506
AA                   15507 15511
R                    15512 15516
B                    15517 15525
SIL                  15526 15585
G                    15586 15588
M                    15589 15594
Z                    15595 15601
S                    15602 15609
M                    15610 15615
L                    15616 15620
OW                   15621 15629
L                    15630 15636
K                    15637 15639
K                    15640 15644
AH                   15645 15648
N                    15649 15660
N                    15661 15666
SIL                  15667 15714
B                    15715 15720
Z                    15721 15732
M                    15733 15742
AA                   15743 15749
L                    15750 15756
N                    15757 15759
OW                   15760 15762
AH                   15763 15767
B                    15768 15775
SIL                  15776 15827
K                    15828 15830
P                    15831 15838
Z                    15839 15841
S                    15842 15852
M                    15853 15861
AO                   15862 15866
AO                   15867 15871
L                    15872 15877
AO                   15878 15888
L                    15889 15894
P                    15895 15908
M                    15909 15911
SIL                  15912 15948
S                    15949 15961
S                    15962 15964
D                    15965 15967
R                    15968 15972
AY                   15973 15986
IH                   15987 15989
M                    15990 15994
M                    15995 15998
OW                   15999 16008
UH                   16009 16016
D                    16017 16019
IY                   16020 16022
EH                   16023 16034
K                    16035 16045
G                    16046 16050
HH                   16051 16053
UW                   16054 16056
SIL                  16057 16092
P                    16093 16096
M                    16097 16103
M                    16104 16110
Z                    16111 16115
Z                    16116 16131
IH                   16132 16136
NG                   16137 16153
N                    16154 16159
G                    16160 16166
UH                   16167 16170
R                    16171 16194
HH                   16195 16197
ER                   16198 16204
EY                   16205 16222
SIL                  16223 16248
SIL                  16249 16269
N                    16270 16275
Z                    16276 16288
IY                   16289 16299
Y                    16300 16305
UW                   16306 16315
UW                   16316 16329
L                    16330 16335
B                    16336 16338
D                    16339 16343
IH                   16344 16347
P                    16348 16360
SIL                  16361 16380
V                    16381 16385
+NSN+                16386 16414
SIL                  16415 16452
M                    16453 16459
D                    16460 16463
Z                    16464 16466
Z                    16467 16478
OW                   16479 16483
AY                   16484 16492
S                    16493 16506
W                    16507 16517
AH                   16518 16521
N                    16522 16529
N                    16530 16533
IY                   16534 16551
SIL                  16552 16589
N                    16590 16596
S                    16597 16604
Z                    16605 16610
AA                   16611 16617
HH                   16618 16629
AW                   16630 16633
M                    16634 16643
AH                   16644 16647
Z                    16648 16651
D                    16652 16657
Y                    16658 16660
HH                   16661 16666
SIL                  16667 16685
K                    16686 16694
SIL                  16695 16718
F                    16719 16724
HH                   16725 16801
UW                   16802 16806
SIL                  16807 16837
P                    16838 16843
AA                   16844 16847
EH                   16848 16853
T                    16854 16856
HH                   16857 16866
AY                   16867 16873
AY                   16874 16876
HH                   16877 16881
SIL                  16882 16897
TH                   16898 16903
IY                   16904 16906
TH                   16907 16914
P                    16915 16924
D                    16925 16927
F                    16928 16930
HH                   16931 16934
IH                   16935 16938
F                    16939 16942
+NSN+                16943 16954
V                    16955 16961
+NSN+                16962 16970
SIL                  16971 16994
P                    16995 16999
V                    17000 17002
SIL                  17003 17012
T                    17013 17018
+NSN+                17019 17035
SIL                  17036 17080
P                    17081 17086
S                    17087 17093
OW                   17094 17106
HH                   17107 17110
OW                   17111 17118
AA                   17119 17121
R                    17122 17145
SIL                  17146 17161
G                    17162 17165
P                    17166 17171
TH                   17172 17175
SIL                  17176 17180
V                    17181 17183
Z                    17184 17187
EY                   17188 17207
UW                   17208 17213
EH                   17214 17228
V                    17229 17234
EH                   17235 17238
AY                   17239 17244
ER                   17245 17249
N                    17250 17252
M                    17253 17259
W                    17260 17263
OW                   17264 17270
W                    17271 17277
ER                   17278 17282
N                    17283 17295
D                    17296 17298
EH                   17299 17301
NG                   17302 17320
SIL                  17321 17328
TH                   17329 17332
ER                   17333 17336
Y                    17337 17341
UW                   17342 17345
M                    17346 17351
AH                   17352 17355
M                    17356 17359
N                    17360 17364
G                    17365 17369
P                    17370 17372
SIL                  17373 17394
TH                   17395 17400
IH                   17401 17404
Z                    17405 17409
SH                   17410 17412
JH                   17413 17422
EH                   17423 17429
SH                   17430 17440
HH                   17441 17446
L                    17447 17451
IH                   17452 17463
D                    17464 17469
DH                   17470 17473
AH                   17474 17476
G                    17477 17484
AE                   17485 17493
AH                   17494 17497
M                    17498 17504
P                    17505 17507
B                    17508 17513
OW                   17514 17523
NG                   17524 17527
M                    17528 17532
W                    17533 17539
OW                   17540 17544
K                    17545 17552
K                    17553 17559
L                    17560 17565
SIL                  17566 17577
JH                   17578 17584
SIL                  17585 17643
V                    17644 17646
G                    17647 17654
R                    17655 17662
N                    17663 17670
AH                   17671 17680
+SPN+                17681 17688
+SPN+                17689 17695
SIL                  17696 17739
G                    17740 17744
Z                    17745 17751
S                    17752 17756
AH                   17757 17762
M                    17763 17768
L                    17769 17773
AE                   17774 17779
D                    17780 17782
AH                   17783 17785
N                    17786 17788
R                    17789 17794
EH                   17795 17799
D                    17800 17803
AH                   17804 17807
D                    17808 17810
R                    17811 17815
UW                   17816 17824
N                    17825 17828
IH                   17829 17832
Z                    17833 17843
M                    17844 17848
IH                   17849 17852
NG                   17853 17858
HH                   17859 17873
SIL                  17874 17902
