word                 start end  
AH                   13995 14000
Z                    14001 14003
T                    14004 14008
R                    14009 14015
AE                   14016 14027
V                    14028 14033
AH                   14034 14038
P                    14039 14043
+SPN+                14044 14046
AA                   14047 14049
R                    14050 14052
M                    14053 14062
S                    14063 14076
DH                   14077 14080
EH                   14081 14091
N                    14092 14094
V                    14095 14097
F                    14098 14106
SIL                  14107 14155
+NSN+                14156 14172
SIL                  14173 14182
AE                   14183 14189
T                    14190 14192
T                    14193 14197
N                    14198 14203
AA                   14204 14217
V                    14218 14221
S                    14222 14232
TH                   14233 14239
DH                   14240 14244
AH                   14245 14247
D                    14248 14250
D                    14251 14253
SH                   14254 14259
IH                   14260 14264
L                    14265 14270
IH                   14271 14275
SH                   14276 14280
S                    14281 14287
D                    14288 14292
TH                   14293 14298
Z                    14299 14302
K                    14303 14307
G                    14308 14313
EH                   14314 14319
IH                   14320 14323
V                    14324 14333
OY                   14334 14348
EH                   14349 14357
IY                   14358 14363
AE                   14364 14371
N                    14372 14379
F                    14380 14391
IH                   14392 14394
L                    14395 14402
L                    14403 14409
T                    14410 14414
AH                   14415 14418
DH                   14419 14423
AH                   14424 14426
D                    14427 14429
G                    14430 14435
R                    14436 14442
AW                   14443 14460
N                    14461 14463
V                    14464 14466
V                    14467 14474
T                    14475 14483
SIL                  14484 14523
SIL                  14524 14536
P                    14537 14540
AH                   14541 14544
W                    14545 14557
AO                   14558 14560
OW                   14561 14568
L                    14569 14573
L                    14574 14582
SH                   14583 14598
F                    14599 14602
OW                   14603 14611
K                    14612 14626
SIL                  14627 14643
P                    14644 14646
AE                   14647 14649
N                    14650 14652
D                    14653 14656
W                    14657 14660
AH                   14661 14663
P                    14664 14666
UH                   14667 14673
L                    14674 14689
DH                   14690 14694
AH                   14695 14698
R                    14699 14705
AE                   14706 14714
T                    14715 14724
S                    14725 14728
HH                   14729 14736
EY                   14737 14748
IH                   14749 14752
IH                   14753 14757
Z                    14758 14762
S                    14763 14769
T                    14770 14773
T                    14774 14777
AH                   14778 14782
DH                   14783 14787
AO                   14788 14796
M                    14797 14803
P                    14804 14807
IH                   14808 14812
IH                   14813 14820
N                    14821 14827
N                    14828 14832
D                    14833 14836
W                    14837 14846
IH                   14847 14850
V                    14851 14856
+NSN+                14857 14871
HH                   14872 14878
IY                   14879 14890
EH                   14891 14896
T                    14897 14902
P                    14903 14906
AE                   14907 14914
N                    14915 14918
T                    14919 14922
HH                   14923 14928
AO                   14929 14934
AA                   14935 14939
R                    14940 14944
AH                   14945 14948
AE                   14949 14952
P                    14953 14958
SIL                  14959 15001
+NSN+                15002 15022
SIL                  15023 15034
B                    15035 15039
IH                   15040 15044
S                    15045 15053
W                    15054 15063
AY                   15064 15071
D                    15072 15077
P                    15078 15084
G                    15085 15089
IH                   15090 15093
UW                   15094 15102
CH                   15103 15107
S                    15108 15114
EH                   15115 15119
D                    15120 15123
B                    15124 15128
IH                   15129 15131
K                    15132 15136
K                    15137 15142
AE                   15143 15150
P                    15151 15160
K                    15161 15166
EH                   15167 15170
N                    15171 15174
D                    15175 15182
SIL                  15183 15208
SIL                  15209 15225
B                    15226 15228
AO                   15229 15234
L                    15235 15238
S                    15239 15251
EH                   15252 15257
N                    15258 15265
D                    15266 15268
EH                   15269 15279
P                    15280 15284
T                    15285 15288
S                    15289 15296
G                    15297 15307
AW                   15308 15320
B                    15321 15324
P                    15325 15327
F                    15328 15331
S                    15332 15339
T                    15340 15342
T                    15343 15347
AH                   15348 15352
S                    15353 15363
SH                   15364 15367
IH                   15368 15377
T                    15378 15380
P                    15381 15383
CH                   15384 15391
F                    15392 15398
R                    15399 15404
IH                   15405 15408
N                    15409 15416
Y                    15417 15425
UW                   15426 15434
HH                   15435 15438
+SPN+                15439 15458
M                    15459 15465
SIL                  15466 15552
SIL                  15553 15574
W                    15575 15580
IH                   15581 15583
TH                   15584 15589
IY                   15590 15598
N                    15599 15601
V                    15602 15605
V                    15606 15611
F                    15612 15620
AY                   15621 15637
V                    15638 15643
EH                   15644 15649
AW                   15650 15664
N                    15665 15673
Z                    15674 15681
T                    15682 15685
DH                   15686 15690
AH                   15691 15693
T                    15694 15696
T                    15697 15704
HH                   15705 15708
IH                   15709 15715
N                    15716 15725
Z                    15726 15735
K                    15736 15740
G                    15741 15745
AW                   15746 15756
N                    15757 15759
TH                   15760 15767
S                    15768 15772
K                    15773 15775
K                    15776 15780
HH                   15781 15784
AE                   15785 15794
N                    15795 15798
M                    15799 15804
B                    15805 15808
AE                   15809 15816
K                    15817 15821
K                    15822 15826
AH                   15827 15829
N                    15830 15838
Z                    15839 15842
S                    15843 15854
EY                   15855 15863
IH                   15864 15868
D                    15869 15873
DH                   15874 15876
IH                   15877 15879
V                    15880 15883
SIL                  15884 15918
W                    15919 15925
IH                   15926 15928
F                    15929 15939
AW                   15940 15948
N                    15949 15952
D                    15953 15955
AH                   15956 15959
S                    15960 15975
TH                   15976 15979
EH                   15980 15993
N                    15994 16000
HH                   16001 16008
AW                   16009 16023
S                    16024 16036
S                    16037 16042
P                    16043 16049
W                    16050 16052
IH                   16053 16057
DH                   16058 16063
IH                   16064 16066
R                    16067 16072
IH                   16073 16075
ZH                   16076 16083
UW                   16084 16086
R                    16087 16099
IH                   16100 16108
M                    16109 16119
IH                   16120 16122
N                    16123 16126
M                    16127 16129
B                    16130 16138
OW                   16139 16146
W                    16147 16152
UH                   16153 16155
D                    16156 16159
F                    16160 16167
R                    16168 16172
IH                   16173 16177
S                    16178 16185
OW                   16186 16201
L                    16202 16213
SIL                  16214 16229
L                    16230 16232
P                    16233 16252
+NSN+                16253 16271
SIL                  16272 16282
B                    16283 16289
IH                   16290 16294
Z                    16295 16298
IH                   16299 16302
T                    16303 16306
P                    16307 16313
HH                   16314 16320
AY                   16321 16329
M                    16330 16334
V                    16335 16339
DH                   16340 16343
IY                   16344 16352
HH                   16353 16361
OW                   16362 16368
L                    16369 16373
V                    16374 16376
S                    16377 16382
Z                    16383 16389
N                    16390 16394
EH                   16395 16404
N                    16405 16407
M                    16408 16410
N                    16411 16415
B                    16416 16419
T                    16420 16425
N                    16426 16433
N                    16434 16438
EH                   16439 16444
AY                   16445 16448
L                    16449 16455
EY                   16456 16462
B                    16463 16473
SIL                  16474 16505
+NSN+                16506 16517
SIL                  16518 16544
AH                   16545 16547
K                    16548 16553
K                    16554 16560
HH                   16561 16569
AE                   16570 16578
AW                   16579 16593
B                    16594 16610
SIL                  16611 16622
F                    16623 16630
K                    16631 16634
K                    16635 16641
HH                   16642 16647
AW                   16648 16658
AO                   16659 16665
F                    16666 16685
+SPN+                16686 16689
B                    16690 16693
AE                   16694 16701
N                    16702 16704
D                    16705 16707
IH                   16708 16710
G                    16711 16715
G                    16716 16723
AE                   16724 16739
V                    16740 16742
M                    16743 16749
N                    16750 16757
W                    16758 16762
IH                   16763 16766
DH                   16767 16773
AH                   16774 16777
N                    16778 16782
EH                   16783 16789
L                    16790 16797
M                    16798 16801
UW                   16802 16804
N                    16805 16809
T                    16810 16818
R                    16819 16824
EY                   16825 16831
D                    16832 16834
IY                   16835 16842
SIL                  16843 16868
P                    16869 16874
SIL                  16875 16900
SIL                  16901 16910
DH                   16911 16918
AH                   16919 16921
R                    16922 16930
AE                   16931 16939
T                    16940 16943
P                    16944 16949
S                    16950 16956
K                    16957 16959
P                    16960 16967
R                    16968 16972
OW                   16973 16985
L                    16986 16990
DH                   16991 16994
AW                   16995 17006
T                    17007 17010
AH                   17011 17016
DH                   17017 17022
DH                   17023 17028
EH                   17029 17035
N                    17036 17039
DH                   17040 17043
AH                   17044 17047
T                    17048 17053
AH                   17054 17057
L                    17058 17062
HH                   17063 17070
AE                   17071 17080
L                    17081 17084
V                    17085 17087
Z                    17088 17093
AH                   17094 17101
Z                    17102 17107
S                    17108 17113
K                    17114 17121
AH                   17122 17124
N                    17125 17133
S                    17134 17146
B                    17147 17151
L                    17152 17155
UW                   17156 17158
DH                   17159 17162
AO                   17163 17166
M                    17167 17174
L                    17175 17179
V                    17180 17182
F                    17183 17190
L                    17191 17197
OW                   17198 17203
OY                   17204 17213
R                    17214 17216
N                    17217 17222
R                    17223 17225
N                    17226 17230
L                    17231 17240
OW                   17241 17252
NG                   17253 17261
M                    17262 17269
AY                   17270 17286
AH                   17287 17289
N                    17290 17296
SIL                  17297 17348
CH                   17349 17357
EH                   17358 17364
V                    17365 17368
S                    17369 17379
TH                   17380 17383
DH                   17384 17389
EH                   17390 17396
N                    17397 17403
N                    17404 17408
HH                   17409 17412
IH                   17413 17417
OW                   17418 17435
L                    17436 17441
B                    17442 17444
W                    17445 17452
AA                   17453 17458
N                    17459 17468
Z                    17469 17476
SH                   17477 17481
L                    17482 17485
AO                   17486 17493
R                    17494 17501
AA                   17502 17514
DH                   17515 17517
F                    17518 17522
HH                   17523 17525
AW                   17526 17535
SIL                  17536 17583
CH                   17584 17593
S                    17594 17603
T                    17604 17607
B                    17608 17615
AA                   17616 17623
L                    17624 17630
+NSN+                17631 17646
SIL                  17647 17659
HH                   17660 17663
IY                   17664 17670
OW                   17671 17679
DH                   17680 17683
AH                   17684 17687
D                    17688 17691
D                    17692 17694
K                    17695 17698
K                    17699 17703
L                    17704 17708
AH                   17709 17711
L                    17712 17715
V                    17716 17718
S                    17719 17731
L                    17732 17736
IY                   17737 17746
SIL                  17747 17797
Y                    17798 17801
UH                   17802 17806
AH                   17807 17810
P                    17811 17813
K                    17814 17824
AH                   17825 17827
M                    17828 17834
IH                   17835 17837
NG                   17838 17844
AH                   17845 17847
V                    17848 17854
K                    17855 17861
W                    17862 17866
AH                   17867 17870
L                    17871 17875
AH                   17876 17878
V                    17879 17882
S                    17883 17904
SIL                  17905 17938
+NSN+                17939 17950
SIL                  17951 17966
AA                   17967 17978
N                    17979 17985
AA                   17986 17993
P                    17994 17996
P                    17997 18001
S                    18002 18010
HH                   18011 18013
IH                   18014 18023
T                    18024 18026
P                    18027 18031
N                    18032 18035
UW                   18036 18040
N                    18041 18043
D                    18044 18046
S                    18047 18055
EH                   18056 18062
D                    18063 18066
AA                   18067 18083
F                    18084 18093
AH                   18094 18099
+SPN+                18100 18103
K                    18104 18109
P                    18110 18121
AY                   18122 18126
M                    18127 18130
N                    18131 18133
JH                   18134 18138
UW                   18139 18143
OW                   18144 18151
N                    18152 18155
T                    18156 18160
AH                   18161 18165
D                    18166 18175
SIL                  18176 18223
DH                   18224 18230
AH                   18231 18234
R                    18235 18248
IH                   18249 18253
F                    18254 18266
M                    18267 18274
EH                   18275 18281
N                    18282 18287
AA                   18288 18294
P                    18295 18299
P                    18300 18304
HH                   18305 18309
AH                   18310 18313
M                    18314 18321
N                    18322 18324
D                    18325 18328
AW                   18329 18341
N                    18342 18349
Y                    18350 18358
AH                   18359 18362
IH                   18363 18366
T                    18367 18370
T                    18371 18383
SIL                  18384 18439
B                    18440 18442
W                    18443 18453
AY                   18454 18458
L                    18459 18468
L                    18469 18474
SIL                  18475 18477
F                    18478 18481
S                    18482 18491
HH                   18492 18494
IH                   18495 18499
D                    18500 18503
DH                   18504 18508
IY                   18509 18511
AE                   18512 18522
NG                   18523 18533
R                    18534 18542
EY                   18543 18547
OW                   18548 18559
ER                   18560 18563
R                    18564 18570
AE                   18571 18582
T                    18583 18585
T                    18586 18595
SIL                  18596 18651
W                    18652 18662
IY                   18663 18667
K                    18668 18679
AW                   18680 18692
P                    18693 18699
W                    18700 18705
EY                   18706 18713
P                    18714 18718
F                    18719 18729
IY                   18730 18734
Y                    18735 18741
UW                   18742 18744
CH                   18745 18751
IY                   18752 18756
V                    18757 18761
SH                   18762 18768
OW                   18769 18775
AH                   18776 18781
N                    18782 18786
AH                   18787 18791
AE                   18792 18796
S                    18797 18824
SIL                  18825 18842
V                    18843 18849
R                    18850 18859
AY                   18860 18871
D                    18872 18874
SIL                  18875 18897
AH                   18898 18904
B                    18905 18908
B                    18909 18913
AW                   18914 18923
T                    18924 18927
B                    18928 18931
F                    18932 18942
EH                   18943 18953
EY                   18954 18958
S                    18959 18967
Z                    18968 18983
SIL                  18984 18994
M                    18995 19001
AH                   19002 19021
SIL                  19022 19027
CH                   19028 19047
+NSN+                19048 19055
SIL                  19056 19106
P                    19107 19111
AA                   19112 19125
V                    19126 19129
F                    19130 19135
AH                   19136 19141
Z                    19142 19145
S                    19146 19155
T                    19156 19158
JH                   19159 19163
UW                   19164 19170
W                    19171 19173
UH                   19174 19178
D                    19179 19183
IH                   19184 19186
P                    19187 19189
P                    19190 19198
AH                   19199 19201
N                    19202 19204
W                    19205 19217
AO                   19218 19223
T                    19224 19227
P                    19228 19231
SH                   19232 19241
T                    19242 19245
P                    19246 19251
AH                   19252 19254
M                    19255 19261
B                    19262 19265
HH                   19266 19273
AY                   19274 19278
R                    19279 19286
IY                   19287 19292
AH                   19293 19298
W                    19299 19309
AY                   19310 19322
EY                   19323 19332
SIL                  19333 19384
P                    19385 19388
L                    19389 19391
EH                   19392 19397
K                    19398 19401
F                    19402 19406
IH                   19407 19410
NG                   19411 19415
G                    19416 19421
OW                   19422 19431
DH                   19432 19439
EH                   19440 19448
IH                   19449 19451
T                    19452 19455
SH                   19456 19458
AH                   19459 19462
M                    19463 19475
AA                   19476 19485
R                    19486 19490
EH                   19491 19503
T                    19504 19507
HH                   19508 19517
IY                   19518 19522
T                    19523 19525
K                    19526 19531
HH                   19532 19535
AW                   19536 19545
M                    19546 19550
M                    19551 19557
EY                   19558 19563
Z                    19564 19567
S                    19568 19576
IH                   19577 19584
D                    19585 19590
P                    19591 19593
T                    19594 19596
IH                   19597 19600
HH                   19601 19608
IH                   19609 19611
M                    19612 19619
S                    19620 19632
EH                   19633 19638
L                    19639 19642
AH                   19643 19645
P                    19646 19648
F                    19649 19660
SIL                  19661 19688
+NSN+                19689 19701
SIL                  19702 19705
P                    19706 19708
TH                   19709 19712
AH                   19713 19715
D                    19716 19719
P                    19720 19723
DH                   19724 19728
EH                   19729 19734
N                    19735 19739
IH                   19740 19745
G                    19746 19753
IH                   19754 19763
N                    19764 19770
D                    19771 19786
+SPN+                19787 19789
AY                   19790 19799
D                    19800 19802
D                    19803 19806
EH                   19807 19815
D                    19816 19820
B                    19821 19826
N                    19827 19830
N                    19831 19834
EH                   19835 19854
T                    19855 19859
N                    19860 19864
SIL                  19865 19873
B                    19874 19878
IH                   19879 19882
T                    19883 19889
S                    19890 19904
EH                   19905 19914
N                    19915 19920
M                    19921 19925
DH                   19926 19928
AY                   19929 19944
V                    19945 19948
S                    19949 19961
N                    19962 19964
UW                   19965 19970
Z                    19971 19975
S                    19976 19988
N                    19989 19995
AY                   19996 20002
N                    20003 20008
D                    20009 20015
Y                    20016 20021
IY                   20022 20031
AH                   20032 20041
SIL                  20042 20098
DH                   20099 20104
AE                   20105 20115
T                    20116 20121
N                    20122 20130
AA                   20131 20137
