word                 start end  
K                    7919  7932 
IY                   7933  7960 
Y                    7961  7965 
IY                   7966  7971 
SIL                  7972  8039 
P                    8040  8049 
R                    8050  8058 
IY                   8059  8069 
Y                    8070  8074 
IY                   8075  8087 
TH                   8088  8099 
+NSN+                8100  8108 
SIL                  8109  8135 
R                    8136  8138 
P                    8139  8152 
K                    8153  8156 
S                    8157  8177 
IY                   8178  8183 
IY                   8184  8218 
SIL                  8219  8270 
ER                   8271  8274 
SH                   8275  8298 
IY                   8299  8330 
D                    8331  8335 
F                    8336  8344 
SIL                  8345  8357 
P                    8358  8367 
SIL                  8368  8402 
CH                   8403  8414 
HH                   8415  8418 
IY                   8419  8441 
IY                   8442  8449 
N                    8450  8454 
SIL                  8455  8486 
F                    8487  8501 
D                    8502  8509 
EY                   8510  8517 
EY                   8518  8526 
D                    8527  8529 
EH                   8530  8545 
T                    8546  8559 
P                    8560  8562 
SIL                  8563  8603 
P                    8604  8608 
K                    8609  8614 
OY                   8615  8636 
R                    8637  8643 
T                    8644  8646 
AH                   8647  8649 
T                    8650  8653 
SIL                  8654  8687 
P                    8688  8694 
SIL                  8695  8701 
V                    8702  8710 
JH                   8711  8719 
K                    8720  8724 
UW                   8725  8738 
UW                   8739  8750 
M                    8751  8759 
SIL                  8760  8765 
AE                   8766  8768 
P                    8769  8778 
SIL                  8779  8796 
D                    8797  8799 
HH                   8800  8806 
L                    8807  8811 
SIL                  8812  8841 
B                    8842  8844 
IY                   8845  8849 
HH                   8850  8854 
IY                   8855  8876 
Y                    8877  8880 
P                    8881  8884 
P                    8885  8892 
SIL                  8893  8912 
P                    8913  8917 
+SPN+                8918  8923 
DH                   8924  8928 
AE                   8929  8931 
W                    8932  8942 
IY                   8943  8948 
IY                   8949  8965 
Y                    8966  8970 
IY                   8971  8976 
SIL                  8977  9018 
S                    9019  9024 
T                    9025  9029 
IY                   9030  9049 
OW                   9050  9058 
N                    9059  9061 
W                    9062  9066 
UH                   9067  9069 
G                    9070  9074 
D                    9075  9077 
TH                   9078  9087 
SIL                  9088  9129 
V                    9130  9133 
Z                    9134  9140 
IH                   9141  9148 
Z                    9149  9155 
IY                   9156  9188 
SIL                  9189  9243 
M                    9244  9247 
Z                    9248  9254 
S                    9255  9272 
IY                   9273  9281 
IY                   9282  9294 
ZH                   9295  9303 
ER                   9304  9307 
EH                   9308  9310 
R                    9311  9322 
+NSN+                9323  9332 
SIL                  9333  9346 
V                    9347  9351 
SIL                  9352  9408 
SIL                  9409  9442 
P                    9443  9448 
SIL                  9449  9483 
W                    9484  9486 
AW                   9487  9491 
SIL                  9492  9498 
V                    9499  9502 
SIL                  9503  9536
