word                 start end  
UW                   16760 16769
Y                    16770 16772
UH                   16773 16777
R                    16778 16784
W                    16785 16791
AY                   16792 16800
P                    16801 16807
UH                   16808 16811
N                    16812 16814
HH                   16815 16820
W                    16821 16824
AO                   16825 16827
UW                   16828 16833
P                    16834 16838
K                    16839 16846
EH                   16847 16856
R                    16857 16860
M                    16861 16864
AO                   16865 16870
R                    16871 16875
OW                   16876 16888
Z                    16889 16895
AH                   16896 16898
N                    16899 16901
L                    16902 16910
AO                   16911 16922
L                    16923 16925
S                    16926 16936
CH                   16937 16939
L                    16940 16944
L                    16945 16955
+NSN+                16956 16960
SIL                  16961 16980
SIL                  16981 17002
K                    17003 17006
B                    17007 17011
R                    17012 17019
AH                   17020 17022
Z                    17023 17031
OW                   17032 17035
AO                   17036 17040
DH                   17041 17045
Z                    17046 17049
UW                   17050 17052
M                    17053 17057
W                    17058 17063
AH                   17064 17067
T                    17068 17070
AH                   17071 17074
W                    17075 17085
EH                   17086 17090
K                    17091 17095
SH                   17096 17104
AH                   17105 17109
N                    17110 17122
DH                   17123 17125
AH                   17126 17140
Z                    17141 17147
AH                   17148 17151
V                    17152 17156
CH                   17157 17162
AO                   17163 17166
R                    17167 17172
Z                    17173 17181
Z                    17182 17185
EH                   17186 17195
V                    17196 17200
F                    17201 17204
R                    17205 17207
D                    17208 17211
IH                   17212 17215
M                    17216 17227
ER                   17228 17239
D                    17240 17245
ER                   17246 17249
M                    17250 17254
P                    17255 17261
R                    17262 17266
EH                   17267 17273
Z                    17274 17284
L                    17285 17289
UW                   17290 17294
M                    17295 17301
SIL                  17302 17326
SIL                  17327 17339
OW                   17340 17345
B                    17346 17353
AH                   17354 17356
HH                   17357 17363
AA                   17364 17372
R                    17373 17378
B                    17379 17381
ER                   17382 17387
AH                   17388 17390
D                    17391 17394
L                    17395 17404
AO                   17405 17413
R                    17414 17429
D                    17430 17433
F                    17434 17436
Y                    17437 17441
UH                   17442 17445
R                    17446 17449
B                    17450 17452
SIL                  17453 17501
K                    17502 17504
D                    17505 17508
IH                   17509 17511
M                    17512 17518
AH                   17519 17521
L                    17522 17524
N                    17525 17529
OY                   17530 17536
IH                   17537 17539
G                    17540 17548
OW                   17549 17551
Z                    17552 17557
S                    17558 17563
M                    17564 17568
M                    17569 17576
AA                   17577 17586
D                    17587 17590
AH                   17591 17594
Z                    17595 17603
B                    17604 17608
OW                   17609 17613
B                    17614 17620
W                    17621 17628
AH                   17629 17632
Z                    17633 17643
UW                   17644 17646
L                    17647 17652
IY                   17653 17658
G                    17659 17662
SIL                  17663 17693
K                    17694 17696
P                    17697 17709
AH                   17710 17713
R                    17714 17719
R                    17720 17724
IH                   17725 17727
S                    17728 17736
Z                    17737 17740
IY                   17741 17750
V                    17751 17754
D                    17755 17758
IH                   17759 17764
M                    17765 17772
AH                   17773 17776
M                    17777 17781
V                    17782 17789
EH                   17790 17796
EY                   17797 17800
AH                   17801 17805
M                    17806 17808
S                    17809 17816
F                    17817 17823
ER                   17824 17828
M                    17829 17835
OW                   17836 17838
B                    17839 17845
HH                   17846 17850
AA                   17851 17856
B                    17857 17861
W                    17862 17864
UH                   17865 17869
SH                   17870 17880
ER                   17881 17886
ER                   17887 17894
SIL                  17895 17943
DH                   17944 17948
AH                   17949 17951
M                    17952 17957
W                    17958 17962
AH                   17963 17965
N                    17966 17968
D                    17969 17971
CH                   17972 17975
AH                   17976 17978
W                    17979 17992
AO                   17993 17997
R                    17998 18003
G                    18004 18010
W                    18011 18014
UH                   18015 18018
B                    18019 18022
UW                   18023 18026
B                    18027 18032
L                    18033 18037
W                    18038 18043
IY                   18044 18052
F                    18053 18063
UW                   18064 18067
V                    18068 18073
DH                   18074 18076
AH                   18077 18079
S                    18080 18087
T                    18088 18093
R                    18094 18097
W                    18098 18102
ER                   18103 18108
IH                   18109 18113
V                    18114 18118
M                    18119 18121
W                    18122 18126
EH                   18127 18131
T                    18132 18134
F                    18135 18141
HH                   18142 18148
EH                   18149 18160
M                    18161 18170
W                    18171 18173
OY                   18174 18186
SIL                  18187 18216
B                    18217 18220
IH                   18221 18224
M                    18225 18230
M                    18231 18236
AY                   18237 18247
R                    18248 18251
F                    18252 18259
AH                   18260 18263
V                    18264 18267
S                    18268 18275
T                    18276 18280
EH                   18281 18286
M                    18287 18292
DH                   18293 18295
ER                   18296 18301
S                    18302 18316
D                    18317 18321
EH                   18322 18328
EH                   18329 18333
M                    18334 18340
B                    18341 18345
EH                   18346 18352
DH                   18353 18356
Z                    18357 18362
S                    18363 18370
T                    18371 18375
AO                   18376 18387
R                    18388 18394
IH                   18395 18397
N                    18398 18407
SIL                  18408 18444
M                    18445 18448
AY                   18449 18453
D                    18454 18458
S                    18459 18470
P                    18471 18479
IY                   18480 18489
K                    18490 18496
AH                   18497 18500
N                    18501 18506
S                    18507 18520
OW                   18521 18528
M                    18529 18535
W                    18536 18545
EY                   18546 18556
T                    18557 18563
AH                   18564 18568
DH                   18569 18573
AH                   18574 18576
F                    18577 18590
IH                   18591 18595
SH                   18596 18608
ER                   18609 18617
Z                    18618 18628
AH                   18629 18631
V                    18632 18637
B                    18638 18642
L                    18643 18652
EY                   18653 18663
Z                    18664 18674
DH                   18675 18679
AH                   18680 18682
D                    18683 18685
IH                   18686 18688
F                    18689 18694
P                    18695 18703
IH                   18704 18707
R                    18708 18711
AA                   18712 18715
R                    18716 18720
T                    18721 18726
CH                   18727 18730
R                    18731 18741
AY                   18742 18746
R                    18747 18752
Z                    18753 18759
P                    18760 18762
R                    18763 18766
IY                   18767 18769
AH                   18770 18773
M                    18774 18781
EH                   18782 18784
R                    18785 18789
ER                   18790 18796
K                    18797 18803
ER                   18804 18807
M                    18808 18811
AH                   18812 18814
D                    18815 18817
K                    18818 18822
Z                    18823 18830
P                    18831 18837
ER                   18838 18851
D                    18852 18855
ER                   18856 18861
SIL                  18862 18865
S                    18866 18879
JH                   18880 18882
SIL                  18883 18942
AH                   18943 18949
Z                    18950 18956
W                    18957 18966
OW                   18967 18980
Z                    18981 18987
TH                   18988 18992
AH                   18993 18996
F                    18997 19009
L                    19010 19015
UW                   19016 19018
W                    19019 19022
UH                   19023 19026
B                    19027 19031
Z                    19032 19044
EY                   19045 19053
D                    19054 19056
AH                   19057 19060
B                    19061 19066
AY                   19067 19074
G                    19075 19079
D                    19080 19085
EH                   19086 19092
M                    19093 19099
AH                   19100 19103
D                    19104 19108
IY                   19109 19122
SIL                  19123 19147
SIL                  19148 19166
B                    19167 19173
UW                   19174 19177
L                    19178 19187
IY                   19188 19195
P                    19196 19199
CH                   19200 19207
TH                   19208 19214
R                    19215 19218
M                    19219 19225
P                    19226 19229
S                    19230 19234
AO                   19235 19240
AY                   19241 19253
M                    19254 19260
M                    19261 19275
SIL                  19276 19293
UW                   19294 19296
P                    19297 19303
AH                   19304 19308
K                    19309 19316
L                    19317 19320
OY                   19321 19330
ZH                   19331 19341
AH                   19342 19344
M                    19345 19348
AH                   19349 19352
V                    19353 19355
F                    19356 19359
K                    19360 19367
AA                   19368 19371
R                    19372 19374
L                    19375 19379
CH                   19380 19388
ER                   19389 19396
V                    19397 19399
SH                   19400 19402
Z                    19403 19417
L                    19418 19424
SIL                  19425 19465
DH                   19466 19473
AH                   19474 19478
D                    19479 19482
M                    19483 19488
W                    19489 19494
AA                   19495 19499
R                    19500 19506
K                    19507 19514
AA                   19515 19522
R                    19523 19526
M                    19527 19535
AA                   19536 19544
T                    19545 19548
ER                   19549 19551
R                    19552 19555
N                    19556 19560
W                    19561 19565
AO                   19566 19574
IH                   19575 19578
T                    19579 19582
F                    19583 19592
SIL                  19593 19648
SIL                  19649 19658
W                    19659 19663
AH                   19664 19668
D                    19669 19672
M                    19673 19679
OW                   19680 19689
Z                    19690 19692
SH                   19693 19698
V                    19699 19704
W                    19705 19707
ER                   19708 19713
S                    19714 19725
AH                   19726 19733
M                    19734 19741
AO                   19742 19751
L                    19752 19754
P                    19755 19758
L                    19759 19763
UW                   19764 19766
ER                   19767 19772
Z                    19773 19792
SIL                  19793 19805
L                    19806 19808
K                    19809 19822
P                    19823 19825
OW                   19826 19835
Z                    19836 19844
F                    19845 19852
EH                   19853 19855
AO                   19856 19859
UH                   19860 19864
L                    19865 19868
UW                   19869 19874
UH                   19875 19878
F                    19879 19882
HH                   19883 19891
AO                   19892 19895
OW                   19896 19903
P                    19904 19916
+SPN+                19917 19920
K                    19921 19927
SIL                  19928 19937
N                    19938 19945
N                    19946 19948
DH                   19949 19954
AH                   19955 19959
M                    19960 19963
D                    19964 19966
IH                   19967 19972
S                    19973 19981
CH                   19982 19986
AE                   19987 19994
R                    19995 19997
EH                   19998 20002
R                    20003 20012
AA                   20013 20015
R                    20016 20019
B                    20020 20025
P                    20026 20028
AO                   20029 20039
M                    20040 20045
OW                   20046 20048
B                    20049 20057
OW                   20058 20064
K                    20065 20069
S                    20070 20074
P                    20075 20081
OW                   20082 20089
B                    20090 20093
UH                   20094 20098
K                    20099 20107
EY                   20108 20118
SH                   20119 20130
AH                   20131 20133
N                    20134 20141
SIL                  20142 20186
P                    20187 20192
HH                   20193 20196
AO                   20197 20201
AH                   20202 20204
L                    20205 20209
P                    20210 20217
IY                   20218 20221
DH                   20222 20227
AH                   20228 20231
B                    20232 20237
OW                   20238 20243
P                    20244 20250
EH                   20251 20255
OW                   20256 20260
G                    20261 20266
HH                   20267 20270
W                    20271 20275
AY                   20276 20281
T                    20282 20287
S                    20288 20294
G                    20295 20302
Z                    20303 20313
IY                   20314 20319
Y                    20320 20323
UW                   20324 20328
G                    20329 20333
B                    20334 20337
IY                   20338 20345
AO                   20346 20352
T                    20353 20357
M                    20358 20363
W                    20364 20368
AY                   20369 20374
Y                    20375 20385
UW                   20386 20393
TH                   20394 20402
F                    20403 20405
AH                   20406 20410
L                    20411 20416
D                    20417 20421
R                    20422 20426
R                    20427 20433
IY                   20434 20444
M                    20445 20448
M                    20449 20455
Z                    20456 20479
SIL                  20480 20514
N                    20515 20517
IY                   20518 20525
T                    20526 20529
AH                   20530 20534
Z                    20535 20538
S                    20539 20545
Z                    20546 20549
D                    20550 20561
EH                   20562 20564
T                    20565 20574
R                    20575 20587
DH                   20588 20598
AH                   20599 20601
T                    20602 20604
AY                   20605 20612
R                    20613 20617
D                    20618 20621
F                    20622 20632
EH                   20633 20638
OW                   20639 20649
B                    20650 20653
UW                   20654 20658
Z                    20659 20662
S                    20663 20669
ER                   20670 20673
EY                   20674 20681
AE                   20682 20686
M                    20687 20691
IY                   20692 20695
ER                   20696 20698
CH                   20699 20705
IH                   20706 20708
NG                   20709 20717
W                    20718 20726
ER                   20727 20730
Z                    20731 20748
AY                   20749 20756
IH                   20757 20763
NG                   20764 20772
SIL                  20773 20823
T                    20824 20828
N                    20829 20832
W                    20833 20838
IH                   20839 20842
EY                   20843 20847
AO                   20848 20857
L                    20858 20861
DH                   20862 20865
IH                   20866 20871
K                    20872 20874
F                    20875 20880
DH                   20881 20884
AO                   20885 20895
L                    20896 20899
S                    20900 20910
OW                   20911 20916
M                    20917 20921
W                    20922 20925
OY                   20926 20931
IH                   20932 20934
M                    20935 20941
B                    20942 20945
AH                   20946 20949
T                    20950 20954
T                    20955 20958
W                    20959 20970
IH                   20971 20973
NG                   20974 20987
SIL                  20988 21029
P                    21030 21036
TH                   21037 21040
R                    21041 21046
AO                   21047 21050
R                    21051 21055
V                    21056 21061
Y                    21062 21068
UW                   21069 21078
UH                   21079 21081
JH                   21082 21087
HH                   21088 21092
W                    21093 21097
ER                   21098 21102
M                    21103 21109
W                    21110 21115
AY                   21116 21120
OW                   21121 21129
B                    21130 21137
L                    21138 21141
IY                   21142 21144
V                    21145 21153
DH                   21154 21157
EY                   21158 21164
R                    21165 21169
W                    21170 21176
ER                   21177 21182
B                    21183 21191
AH                   21192 21194
L                    21195 21203
SIL                  21204 21257
P                    21258 21264
IY                   21265 21270
B                    21271 21276
AH                   21277 21280
W                    21281 21286
EH                   21287 21294
K                    21295 21297
SH                   21298 21305
L                    21306 21313
IH                   21314 21317
SH                   21318 21331
AO                   21332 21340
R                    21341 21343
DH                   21344 21346
OW                   21347 21351
AH                   21352 21356
P                    21357 21366
SIL                  21367 21380
V                    21381 21388
AH                   21389 21391
AH                   21392 21395
T                    21396 21399
DH                   21400 21403
AH                   21404 21406
R                    21407 21417
IY                   21418 21421
D                    21422 21425
IH                   21426 21428
NG                   21429 21433
S                    21434 21442
AH                   21443 21446
B                    21447 21451
W                    21452 21455
AH                   21456 21460
K                    21461 21466
F                    21467 21470
AA                   21471 21476
B                    21477 21480
W                    21481 21485
UH                   21486 21489
SH                   21490 21500
ER                   21501 21508
ER                   21509 21514
R                    21515 21525
EY                   21526 21532
N                    21533 21539
JH                   21540 21552
SIL                  21553 21612
DH                   21613 21615
AH                   21616 21618
S                    21619 21631
OW                   21632 21634
T                    21635 21639
EY                   21640 21646
OW                   21647 21657
L                    21658 21664
Z                    21665 21677
W                    21678 21680
L                    21681 21687
T                    21688 21690
M                    21691 21694
AO                   21695 21702
R                    21703 21707
AO                   21708 21712
N                    21713 21720
ER                   21721 21726
W                    21727 21736
AA                   21737 21742
L                    21743 21746
M                    21747 21749
W                    21750 21753
EH                   21754 21756
R                    21757 21770
SIL                  21771 21816
G                    21817 21819
AH                   21820 21822
ER                   21823 21825
EH                   21826 21835
F                    21836 21839
T                    21840 21845
ER                   21846 21850
ER                   21851 21854
F                    21855 21863
Y                    21864 21870
UW                   21871 21874
M                    21875 21885
AO                   21886 21891
AH                   21892 21894
M                    21895 21900
S                    21901 21922
HH                   21923 21926
UH                   21927 21929
T                    21930 21935
AY                   21936 21939
ER                   21940 21943
W                    21944 21956
AH                   21957 21959
N                    21960 21963
AO                   21964 21976
M                    21977 21982
W                    21983 21987
UH                   21988 21990
B                    21991 21995
UH                   21996 21999
N                    22000 22005
AH                   22006 22009
UW                   22010 22014
Z                    22015 22023
AH                   22024 22026
R                    22027 22029
S                    22030 22040
OW                   22041 22044
D                    22045 22047
M                    22048 22051
W                    22052 22057
AH                   22058 22062
OW                   22063 22068
W                    22069 22075
AY                   22076 22087
F                    22088 22101
SIL                  22102 22137
S                    22138 22152
ER                   22153 22164
V                    22165 22167
M                    22168 22177
DH                   22178 22182
AH                   22183 22187
M                    22188 22190
W                    22191 22196
AY                   22197 22202
K                    22203 22213
R                    22214 22217
R                    22218 22228
Y                    22229 22231
UH                   22232 22238
ER                   22239 22247
AH                   22248 22251
Z                    22252 22258
AH                   22259 22262
N                    22263 22267
AO                   22268 22281
P                    22282 22288
ER                   22289 22294
R                    22295 22297
W                    22298 22304
UH                   22305 22308
D                    22309 22311
B                    22312 22318
IY                   22319 22321
UW                   22322 22324
SH                   22325 22335
R                    22336 22340
AO                   22341 22344
R                    22345 22347
L                    22348 22350
UW                   22351 22354
W                    22355 22364
IH                   22365 22369
M                    22370 22374
V                    22375 22380
T                    22381 22387
SIL                  22388 22434
P                    22435 22441
UH                   22442 22446
D                    22447 22450
G                    22451 22457
L                    22458 22460
OY                   22461 22469
EH                   22470 22478
D                    22479 22482
T                    22483 22486
UW                   22487 22494
AH                   22495 22497
V                    22498 22501
SH                   22502 22505
S                    22506 22510
ER                   22511 22519
V                    22520 22527
AA                   22528 22537
EH                   22538 22546
V                    22547 22553
DH                   22554 22556
AH                   22557 22560
P                    22561 22569
R                    22570 22575
AA                   22576 22587
S                    22588 22597
ER                   22598 22602
L                    22603 22605
Z                    22606 22615
W                    22616 22625
B                    22626 22630
M                    22631 22639
AY                   22640 22647
B                    22648 22658
IH                   22659 22663
G                    22664 22669
M                    22670 22674
IH                   22675 22679
B                    22680 22686
IY                   22687 22696
G                    22697 22702
N                    22703 22706
M                    22707 22713
AO                   22714 22723
R                    22724 22727
OW                   22728 22734
W                    22735 22740
EH                   22741 22747
S                    22748 22757
ER                   22758 22761
K                    22762 22764
IH                   22765 22769
N                    22770 22778
TH                   22779 22783
HH                   22784 22788
AE                   22789 22801
K                    22802 22805
T                    22806 22817
SIL                  22818 22883
P                    22884 22888
AY                   22889 22896
EY                   22897 22900
AH                   22901 22904
M                    22905 22909
L                    22910 22915
UH                   22916 22919
OW                   22920 22927
V                    22928 22931
T                    22932 22935
S                    22936 22939
AE                   22940 22946
AY                   22947 22949
AH                   22950 22952
M                    22953 22955
F                    22956 22962
AH                   22963 22966
L                    22967 22973
AH                   22974 22976
V                    22977 22979
TH                   22980 22989
W                    22990 22995
AH                   22996 23000
T                    23001 23004
SH                   23005 23011
AH                   23012 23014
N                    23015 23019
AO                   23020 23028
ER                   23029 23033
DH                   23034 23036
M                    23037 23039
AH                   23040 23043
M                    23044 23050
EH                   23051 23055
K                    23056 23061
Z                    23062 23067
D                    23068 23070
T                    23071 23076
EH                   23077 23080
R                    23081 23084
N                    23085 23089
Y                    23090 23099
ER                   23100 23109
Z                    23110 23130
SIL                  23131 23185
AA                   23186 23191
R                    23192 23196
W                    23197 23202
EH                   23203 23208
T                    23209 23214
AH                   23215 23217
M                    23218 23225
AO                   23226 23232
R                    23233 23239
R                    23240 23247
AH                   23248 23251
D                    23252 23256
IH                   23257 23259
Z                    23260 23262
S                    23263 23267
Y                    23268 23270
F                    23271 23274
ER                   23275 23282
IH                   23283 23286
SH                   23287 23295
AH                   23296 23298
N                    23299 23304
K                    23305 23309
R                    23310 23315
AH                   23316 23318
AA                   23319 23323
AH                   23324 23326
JH                   23327 23334
IH                   23335 23337
D                    23338 23340
ER                   23341 23345
T                    23346 23350
T                    23351 23355
AH                   23356 23358
M                    23359 23366
AH                   23367 23370
M                    23371 23376
AY                   23377 23387
K                    23388 23392
T                    23393 23397
IY                   23398 23402
NG                   23403 23407
N                    23408 23413
AY                   23414 23422
D                    23423 23427
IY                   23428 23433
T                    23434 23437
T                    23438 23443
UW                   23444 23454
AH                   23455 23457
L                    23458 23467
AY                   23468 23472
K                    23473 23477
SH                   23478 23486
N                    23487 23492
S                    23493 23498
S                    23499 23504
OW                   23505 23507
AY                   23508 23516
K                    23517 23523
AH                   23524 23527
L                    23528 23537
SIL                  23538 23568
P                    23569 23572
D                    23573 23575
B                    23576 23579
IY                   23580 23584
G                    23585 23594
EH                   23595 23603
M                    23604 23607
AH                   23608 23610
Z                    23611 23614
S                    23615 23623
AH                   23624 23628
W                    23629 23634
AO                   23635 23637
R                    23638 23642
W                    23643 23652
AY                   23653 23659
K                    23660 23663
SH                   23664 23667
T                    23668 23670
K                    23671 23675
W                    23676 23679
EH                   23680 23690
K                    23691 23696
T                    23697 23701
AH                   23702 23708
Z                    23709 23714
Z                    23715 23730
SIL                  23731 23768
AH                   23769 23775
N                    23776 23780
S                    23781 23789
T                    23790 23793
AO                   23794 23801
R                    23802 23805
D                    23806 23808
AH                   23809 23813
T                    23814 23818
T                    23819 23824
IY                   23825 23832
JH                   23833 23840
IH                   23841 23843
NG                   23844 23847
K                    23848 23855
AH                   23856 23861
S                    23862 23864
AH                   23865 23867
Z                    23868 23875
Z                    23876 23883
D                    23884 23886
T                    23887 23891
UW                   23892 23900
SH                   23901 23907
M                    23908 23914
OW                   23915 23925
L                    23926 23930
AO                   23931 23943
B                    23944 23949
DH                   23950 23952
UW                   23953 23956
Y                    23957 23962
UH                   23963 23967
R                    23968 23972
R                    23973 23983
Z                    23984 23995
IH                   23996 24000
V                    24001 24005
SH                   24006 24017
K                    24018 24024
R                    24025 24028
AA                   24029 24037
R                    24038 24041
T                    24042 24045
ER                   24046 24053
OW                   24054 24061
SIL                  24062 24115
P                    24116 24119
AA                   24120 24127
R                    24128 24130
W                    24131 24137
R                    24138 24142
IH                   24143 24145
TH                   24146 24152
AH                   24153 24156
T                    24157 24160
AE                   24161 24168
B                    24169 24176
AA                   24177 24181
L                    24182 24187
AH                   24188 24190
HH                   24191 24198
AW                   24199 24212
L                    24213 24217
S                    24218 24237
SIL                  24238 24260
AO                   24261 24263
AO                   24264 24272
HH                   24273 24275
AO                   24276 24280
R                    24281 24284
B                    24285 24289
P                    24290 24292
AH                   24293 24295
W                    24296 24301
EH                   24302 24309
Z                    24310 24315
F                    24316 24321
W                    24322 24326
UH                   24327 24329
D                    24330 24332
CH                   24333 24336
T                    24337 24343
UW                   24344 24358
W                    24359 24364
G                    24365 24371
W                    24372 24374
AO                   24375 24382
R                    24383 24388
CH                   24389 24394
AH                   24395 24399
Z                    24400 24404
S                    24405 24411
HH                   24412 24417
EH                   24418 24420
AO                   24421 24425
